branch	sha
arc3-resource-dominance-diagnostic-v1	b000781007c4e7a4f4b65d29104b1608380fc79d
arc3-resource-dominance-v1	7469e7a7e7c283e1aebddb4c50aab8f21c376e4f
arc3-resource-factor-v1	b35f4f04543b7a4696656c5966fb99f13aac3e21
arc3-typed-resource-factor-v1	7ddb1288ff09c931af50011639b918d08f3407dc
arc3-world-frontier-v1	39630f4001a6845cc164e10b2707f754423b57b7
austin-capability-installation-v1	f70f92874c1c83edbc9912c0d1a9cbb77e9bb417
austin-recursive-obligation-test	1cbd6437ba3e4b0ff0ca738d60a28e4269b6fb5b
being-becoming-fixed-point-v15	eff3bee896cbd05f10c6922bc34be9771c9d8ced
clc-nonlinear-lineage-v0	900a73c1d386ee0eee1205a1cf31d270f3311ef7
consequence-compiler	54ba9a963e1fd504317b8ee86eaeb142ba731f9f
consequence-distinction-duality-v1	3efecd8dcc4d7a2ebdb5ed9e9801acc1e1ca8d89
consequential-interaction-selection	90ea5ec129d9b705337da6f006bfa4e872954f20
constitutional-failed-factorization	a22f4a266e9669294162dbe5602c4232bb03faf6
cross-domain-universal-motifs-v1	e389e2bb8f62b6df5ab40ea9f81413bca1ed87d8
cross-domain-universal-motifs-v2	9752ed4f18ff3af670d60fb5c1bf89867b6bff9c
cross-substrate-universal-motifs-v3	0e2264f1fcef11ead3c9a69ef32d824767a937e1
developmental-lyapunov-v1	108fdd89c70792745c647464a3ca64adfd2c1d19
experiment/arc-seed-discovery-v2	5a08183ae103c30a64761b81431ec82bb2499bc6
experiment/arc-seed-transfer-v1	8d2e8473bac122d13855fc976e82a5d2983bacac
experiment/arc3-archive-transfer-v1	716076371cfa187da3b0fe2f1150de03ec051f4c
experiment/arc3-closed-feedback-v1	0d6f87d5636bf252d1f2961572c23415be44f5ba
experiment/arc3-compact-v1	45776d4d09cb58353ece568d16a0674267ee9aea
experiment/arc3-consequence-kernel-v1	eb0928e123ec19a7b8d37bb147c8fda558f640ca
experiment/arc3-consequence-search-v1	23e66b483c01b1235821eb2b25a9c4bd4a867521
experiment/arc3-consequence-selection-v1	2743b687d1be591485409de2c8a4e0fba62a931f
experiment/arc3-cross-game-transfer-v1	1fb4d6f9da69a9aab15c69406150d2e49ac342c4
experiment/arc3-delayed-separator-v1	aa1e7707f417c12b9149946d9518a8fe1fe8dac5
experiment/arc3-frozen-transfer-v1	f067e6ab6b756a0e5fe428c222accdb77b0f113c
experiment/arc3-level4-residual-v1	acef113bad78ad4d7aba38c0696f23ab00e5bab7
experiment/arc3-parameterized-actions-v1	68e37033f3ae1e86e992dfe8d982aef9133612aa
experiment/arc3-probe-exploration-v1	dd567ec83c044da46fb1a44dd39c5ffc2c397929
experiment/arc3-stage4-residual-v1	40b3eeed95f521e6e34009477d02c95a6f833b05
experiment/arc3-stage4-separator-v2	5215bbc63fb533fcfbd76c966ae9d1d8de88f9ea
experiment/arc3-unrestricted-prefix-search-v1	d19902a3c08980dbb94a77e51bdcbee454bfe387
experiment/clc-closed-loop-behavior-v1	1d853e9847ca2f0aceb78ac0dbd88d7d02bf3ff8
experiment/composite-residual-repair-v1	1fe0bdef10d2a00a0b72aff6ffc99ed7505c266e
experiment/continuous-two-repair-qualification-v1	f5e8a7427918639d2a044a800cbc08b7d820d9c1
experiment/executable-lean-tight-loop	fd0708c7e05349aeec4dd8ca7c0892bf241482fa
experiment/grammar-genesis-v1	b7bf404518d492d62f12d5182e8ab88a3b522496
experiment/independent-genesis-validation-v1	448190de0faa0481b0b9f040545682e93b79ba1d
experiment/inferred-recurrence-v1	bbe67850cc14efc5d58d2c53439462744bfb125e
experiment/policy-constraint-derivation-v1	9373aeed51fee50b1c65100d88e324d94a0431b4
